Temperature (Â°C),Humidity (%)
23.745401188473625,57.18664865459284
29.50714306409916,66.76561436180947
27.31993941811405,64.03486825187
25.986584841970366,60.92144318821722
21.560186404424364,49.09937259695958
21.559945203362027,52.33863275695522
20.580836121681994,42.046597263883186
28.66176145774935,59.28335153969015
26.011150117432088,52.474573123969556
27.080725777960453,57.41475486355355
20.205844942958024,44.298462782810866
29.699098521619945,62.11168736097885
28.324426408004218,64.93622790752772
22.123391106782762,47.81431548050142
21.818249672071005,46.445844441015815
21.83404509853434,49.09505102865116
23.042422429595376,47.49408710893838
25.24756431632238,58.51709844018515
24.319450186421157,49.384406809640026
22.91229140198042,55.69345216996601
26.118528947223794,59.959505587414164
21.39493860652042,44.777034028382566
22.92144648535218,45.89811414194038
23.663618432936918,55.48185115042217
24.560699842170358,56.18997312281689
27.851759613930135,62.99359090827014
21.996737821583597,51.70617911002665
25.142344384136116,51.02513528561314
25.924145688620424,55.43294866268357
20.464504127199977,42.08769884965125
26.075448519014383,60.781931296784705
21.705241236872915,49.64346374202141
20.650515929852794,44.610012108232084
29.488855372533333,59.6132942479269
29.656320330745594,62.42246387864781
28.083973481164612,59.419780182596696
23.046137691733705,53.388337166848046
20.976721140063837,48.32901699367981
26.842330265121568,62.5567879560064
24.40152493739601,53.525199126411515
21.22038234844779,43.6367071562786
24.951769101112703,57.03598607445535
20.343885211152184,48.29562090847334
29.093204020787823,63.79918001727061
22.58779981600017,52.88527143154595
26.62522284353982,58.18840165072355
23.11711076089411,51.461549815608166
25.200680211778106,54.676770607141705
25.467102793432797,51.188396854306546
21.84854455525527,44.77600338044358
